,State,Population_2015,Population_2010
1, México,"16,187,608","15,175,862"
2, Ciudad de México,"8,918,653","8,851,080"
3, Veracruz,"8,112,505","7,643,194"
4, Jalisco,"7,844,830","7,350,682"
5, Puebla,"6,168,883","5,779,829"
6, Guanajuato,"5,853,677","5,486,372"
7, Chiapas,"5,217,908","4,796,580"
8, Nuevo León,"5,119,504","4,653,458"
9, Michoacán,"4,584,471","4,351,037"
10, Oaxaca,"3,967,889","3,801,962"
11, Chihuahua,"3,556,574","3,406,465"
12, Guerrero,"3,533,251","3,388,768"
13, Tamaulipas,"3,441,698","3,268,554"
14, Baja California,"3,315,766","3,155,070"
15, Sinaloa,"2,966,321","2,767,761"
16, Coahuila de Zaragoza,"2,954,915","2,748,391"
17, Hidalgo,"2,858,359","2,665,018"
18, Sonora,"2,850,330","2,662,480"
19, San Luis Potosí,2717820,"2,585,518"
20, Tabasco,"2,395,272","2,238,603"
21, Yucatán,"2,097,175","1,955,577"
22, Querétaro de Arteaga,"2,038,372","1,827,937"
23, Morelos,"1,903,811","1,777,227"
24, Durango,"1,754,754","1,632,934"
25, Zacatecas,"1,579,209","1,490,668"
26, Quintana Roo,"1,501,562","1,325,578"
27, Aguascalientes,"1,312,544","1,184,996"
28, Tlaxcala,"1,272,847","1,169,936"
29, Nayarit,"1,181,050","1,084,979"
30, Campeche,"899,931","822,441"
31, Baja California Sur,"712,029","637,026"
32, Colima,"711,235","650,555"
