Name,Status,State,Pop_2010,Pop_2015
Acapulco,Metropolitan Area,Guerrero,863431,886975
Acayucan,Metropolitan Area,Veracruz de Ignacio de la Llave,112996,120340
Aguascalientes,Metropolitan Area,Aguascalientes,932369,1044049
Campeche,Metropolitan Area,Campeche,259005,283025
Cancìn,Metropolitan Area,Quintana Roo,677379,763121
Celaya,Metropolitan Area,Guanajuato,690442,731667
Chetumal,Metropolitan Area,Quintana Roo,207810,224080
Chihuahua,Metropolitan Area,Chihuahua,852533,918339
Chilpancingo,Metropolitan Area,Guerrero,287875,324422
Ciudad Victoria,Metropolitan Area,Tamaulipas,321953,346029
Coatzacoalcos,Metropolitan Area,Veracruz de Ignacio de la Llave,347257,365026
Colima - Villa de çlvarez,Metropolitan Area,Colima,334240,359392
C„rdoba,Metropolitan Area,Veracruz de Ignacio de la Llave,316032,347647
Cuautla,Metropolitan Area,Morelos,434147,475441
Cuernavaca,Metropolitan Area,Morelos,924964,983365
Culiacˆn,Metropolitan Area,Sinaloa,858638,905265
Delicias,Metropolitan Area,Chihuahua,181768,192797
Durango,Metropolitan Area,Durango,582267,654876
Ensenada,Metropolitan Area,Baja California,466814,486639
Guadalajara,Metropolitan Area,Jalisco,4521755,4887383
Guanajuato,Metropolitan Area,Guanajuato,171709,184239
Guaymas,Metropolitan Area,Sonora,203430,214223
Hermosillo,Metropolitan Area,Sonora,784342,884273
Hidalgo del Parral,Metropolitan Area,Chihuahua,111814,114596
Juˆrez,Metropolitan Area,Chihuahua,1332131,1391180
"La Laguna_(Comarca Lagunera, Torre„n - G„mez Palacio)",Metropolitan Area,Coahuila de Zaragoza / Durango,1271493,1342195
La Paz,Metropolitan Area,Baja California Sur,251871,272711
La Piedad - P_njamo,Metropolitan Area,Guanajuato / Michoacˆn de Ocampo,249512,254272
Le„n,Metropolitan Area,Guanajuato,1609504,1768193
Matamoros,Metropolitan Area,Tamaulipas,489193,520367
Mazatlˆn,Metropolitan Area,Sinaloa,438434,502547
M_rida,Metropolitan Area,Yucatˆn,1053519,1143041
Mexicali,Metropolitan Area,Baja California,936826,988417
Minatitlˆn,Metropolitan Area,Veracruz de Ignacio de la Llave,356137,372381
Monclova - Frontera,Metropolitan Area,Coahuila de Zaragoza,339462,363753
Monterrey,Metropolitan Area,Nuevo Le„n,4226031,4689601
Morelia,Metropolitan Area,Michoacˆn de Ocampo,829625,911960
Morole„n - Uriangato,Metropolitan Area,Guanajuato,108669,113138
Nogales,Metropolitan Area,Sonora,220292,233952
Nuevo Laredo,Metropolitan Area,Tamaulipas,384033,399431
Oaxaca,Metropolitan Area,Oaxaca,619367,671447
Ocotlˆn,Metropolitan Area,Jalisco,164256,176158
Orizaba,Metropolitan Area,Veracruz de Ignacio de la Llave,430121,457159
Pachuca,Metropolitan Area,Hidalgo,512196,557093
Piedras Negras,Metropolitan Area,Coahuila de Zaragoza,180734,194293
Poza Rica,Metropolitan Area,Veracruz de Ignacio de la Llave,513518,538206
Puebla - Tlaxcala,Metropolitan Area,Puebla / Tlaxcala,2728790,2941988
Puerto Vallarta,Metropolitan Area,Jalisco / Nayarit,379886,425890
Quer_taro,Metropolitan Area,Quer_taro / Guanajuato,1161458,1323640
Reynosa,Metropolitan Area,Tamaulipas,727150,773089
RÍoverde,Metropolitan Area,San Luis PotosÍ,135452,139576
Saltillo,Metropolitan Area,Coahuila de Zaragoza,823128,923636
San Francisco del Rinc„n,Metropolitan Area,Guanajuato,182365,199308
San Luis PotosÍ,Metropolitan Area,San Luis PotosÍ,1065039,1159807
Tampico,Metropolitan Area,Tamaulipas / Veracruz de Ignacio de la Llave,859419,916854
Tapachula,Metropolitan Area,Chiapas,320451,348156
Tecomˆn,Metropolitan Area,Colima,141421,152790
Tehuacˆn,Metropolitan Area,Puebla,296899,344603
Tehuantepec_(- Salina Cruz),Metropolitan Area,Oaxaca,168618,179957
Tepic,Metropolitan Area,Nayarit,429351,471026
Teziutlˆn,Metropolitan Area,Puebla,122500,131786
Tianguistenco,Metropolitan Area,M_xico,157944,170461
Tijuana,Metropolitan Area,Baja California,1751430,1840710
Tlaxcala - Apizaco,Metropolitan Area,Tlaxcala,499567,540273
Toluca,Metropolitan Area,M_xico,2014091,2202886
Tula,Metropolitan Area,Hidalgo,205812,225219
Tulancingo,Metropolitan Area,Hidalgo,239579,256662
Tuxtla Guti_rrez,Metropolitan Area,Chiapas,738261,814436
Valle de M_xico_[Greater Mexico City],Metropolitan Area,Ciudad de M_xico / Hidalgo / M_xico,20116842,20892724
Veracruz,Metropolitan Area,Veracruz de Ignacio de la Llave,834256,915213
Villahermosa,Metropolitan Area,Tabasco,755425,823213
Xalapa,Metropolitan Area,Veracruz de Ignacio de la Llave,711139,768271
Zacatecas - Guadalupe,Metropolitan Area,Zacatecas,335947,375628
Zamora,Metropolitan Area,Michoacˆn de Ocampo,250113,265952
