Metropolitan Areas,Year_2010,Year_2015
MEX51: Minatitlan,12108,12105
MEX58: Campeche,..,..
MEX46: Victoria,17832,17581
MEX30: Durango,13269,13849
MEX04: Puebla,10304,10681
MEX38: Tepic,11481,11647
MEX42: Nuevo Laredo,18320,17581
MEX39: Orizaba,12337,12105
MEX53: Chilpancingo de los Bravo,8320,8062
MEX35: Matamoros,17302,17580
MEX60: Salamanca,12372,14428
MEX20: Hermosillo,20729,22840
MEX15: Centro,31370,22348
MEX22: Acapulco de Juarez,7949,8039
MEX33: Irapuato,12673,14428
MEX27: Saltillo,23061,24490
MEX01: Mexico City,21553,22587
MEX06: Tijuana,17388,19047
MEX28: Benito Juarez,18861,19406
MEX26: Xalapa,12802,12105
MEX12: Torreon,18726,20015
MEX05: Toluca,10423,10633
MEX03: Monterrey,31365,28251
MEX62: Zamora,9604,10430
MEX29: Celaya,12562,14428
MEX54: Monclova,22222,24490
MEX50: Tehuacan,10100,10828
MEX17: Morelia,10077,10430
MEX56: Colima,16483,16240
MEX61: San Juan del Rio,20874,22936
MEX19: Veracruz,12484,12006
MEX02: Guadalajara,16572,17636
MEX24: Oaxaca de Juarez,8248,8275
MEX07: Leon,12476,14428
MEX48: Cordoba,12131,12105
MEX49: Uruapan,10191,10430
MEX10: Juarez,15330,18101
MEX08: Queretaro,19732,21741
MEX25: Reynosa,19755,17549
MEX09: Merida,12688,13672
MEX36: Ensenada,17723,19041
MEX13: Mexicali,17468,19048
MEX45: Tapachula,7169,6696
MEX14: Cuernavaca,12661,11947
MEX11: San Luis Potosi,13743,15303
MEX32: Pachuca de Soto,11391,11366
MEX63: Tulancingo de Bravo,10655,11366
MEX37: Poza Rica de Hidalgo,12093,12105
MEX47: Tlaxcala,9528,9431
MEX34: Ahome,13975,14894
MEX52: Cuautla,12725,11947
MEX21: Aguascalientes,16597,19528
MEX43: Guadalupe,13358,12285
MEX16: Culiacan,14123,14894
MEX57: La Paz,21260,21431
MEX55: Los Cabos,27081,21431
MEX59: Puerto Vallarta,16944,17454
MEX40: Mazatlan,13850,14894
MEX18: Chihuahua,16090,18101
MEX31: Tuxtla Gutierrez,7102,6696
MEX41: Cajeme,20208,22840
MEX44: Coatzacoalcos,12099,12105
MEX23: Tampico,17250,17203
MEX: Mexico,..,..
